n_total,test_size,cv_folds,repetitions_R,n_repeats_outer_seed,test_acc_mean,test_acc_std,test_acc_sem
50,0.25,3,1,10,0.7307692307692307,0.07475579352365773,0.023639857582802282
50,0.25,3,50,10,0.7692307692307693,0.0,0.0
50,0.25,3,100,10,0.7692307692307693,0.0,0.0
