n_total,test_size,cv_folds,repetitions_R,n_repeats_outer_seed,test_acc_mean,test_acc_std,test_acc_sem
50,0.25,3,1,10,0.7461538461538462,0.08919244682526199,0.028205128205128206
50,0.25,3,50,10,0.7538461538461538,0.06067774136512426,0.01918798659884072
50,0.25,3,100,10,0.7692307692307693,0.0,0.0
