sample_size_total,n_train,n_test,n_repeats,test_acc_mean,test_acc_std,test_acc_sem
50,38,12,5,0.6923076923076923,0.09421114395319918,0.042132504423474326
500,375,125,5,0.8240000000000001,0.012649110640673495,0.00565685424949237
1000,750,250,5,0.8503999999999999,0.015126136320951243,0.0067646138101151105
2000,1500,500,5,0.86,0.00979795897113272,0.004381780460041332
5000,3750,1250,5,0.8606400000000001,0.007702467137222969,0.003444648022657752
10000,7500,2500,5,0.8608799999999999,0.006244357452932999,0.002792561548113126
20000,15000,5000,5,0.86516,0.0035620218977429276,0.001592984620139198
40000,30000,10000,5,0.8652599999999999,0.007692073842599254,0.00343999999999999
