n_total,test_size,cv_folds,repetitions_R,n_repeats_outer_seed,test_acc_mean,test_acc_std,test_acc_sem
50,0.25,3,1,10,0.7307692307692307,0.07475579352365773,0.023639857582802282
50,0.25,3,3,10,0.7615384615384615,0.043665093245965146,0.013808114890088475
50,0.25,3,5,10,0.7384615384615385,0.08268982305947231,0.026148818018424537
50,0.25,3,10,10,0.7538461538461538,0.06067774136512426,0.01918798659884072
