c0608a-s22.ufhpc
Thu Dec 18 10:35:16 AM EST 2025
/orange/ruogu.fang/junfu.cheng/SMILE/ml_exp/hpo_quicklab_version4_hold_out
Workspace is /orange/ruogu.fang/junfu.cheng/SMILE/ml_exp/hpo_quicklab_version4_hold_out
[      grid] t= 332s  evals=    43  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 342s  evals=    45  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 357s  evals=    46  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 367s  evals=    48  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 381s  evals=    49  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 404s  evals=    52  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 425s  evals=    55  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 435s  evals=    57  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 449s  evals=    58  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 459s  evals=    60  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 474s  evals=    61  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 496s  evals=    64  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 517s  evals=    67  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 527s  evals=    69  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 542s  evals=    70  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 552s  evals=    72  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 566s  evals=    73  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 589s  evals=    76  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 610s  evals=    79  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 620s  evals=    81  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 635s  evals=    82  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 645s  evals=    84  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 659s  evals=    85  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 682s  evals=    88  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
