c0602a-s23.ufhpc
Wed Dec 17 06:13:56 PM EST 2025
/orange/ruogu.fang/junfu.cheng/SMILE/ml_exp/hpo_quicklab_version2_hold_out
Workspace is /orange/ruogu.fang/junfu.cheng/SMILE/ml_exp/hpo_quicklab_version2_hold_out
[      grid] t= 331s  evals=    45  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 345s  evals=    46  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 355s  evals=    48  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 368s  evals=    49  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 391s  evals=    52  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 411s  evals=    55  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 421s  evals=    57  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 435s  evals=    58  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 459s  evals=    61  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 481s  evals=    64  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 502s  evals=    67  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 525s  evals=    70  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 548s  evals=    73  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 570s  evals=    76  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 591s  evals=    79  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] DONE  t=600.6s  evals=80  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[    random] t=  11s  evals=     3  best_cv=0.86421  params={'max_depth': 4, 'max_leaf_nodes': 21, 'learning_rate': 0.07142927620035626, 'max_bins': 94, 'min_samples_leaf': 62, 'l2_regularization': 9.479064963923032e-06, 'early_stopping': True, 'validation_fraction': 0.21917487185572782, 'n_estimators': 658}
[    random] t=  28s  evals=     5  best_cv=0.86421  params={'max_depth': 4, 'max_leaf_nodes': 21, 'learning_rate': 0.07142927620035626, 'max_bins': 94, 'min_samples_leaf': 62, 'l2_regularization': 9.479064963923032e-06, 'early_stopping': True, 'validation_fraction': 0.21917487185572782, 'n_estimators': 658}
[    random] t=  48s  evals=     7  best_cv=0.87082  params={'max_depth': 4, 'max_leaf_nodes': 26, 'learning_rate': 0.044994382547235, 'max_bins': 229, 'min_samples_leaf': 79, 'l2_regularization': 7.880443227466746, 'early_stopping': True, 'validation_fraction': 0.26662091668881743, 'n_estimators': 489}
[    random] t=  67s  evals=    10  best_cv=0.87096  params={'max_depth': 4, 'max_leaf_nodes': 170, 'learning_rate': 0.03867637126517001, 'max_bins': 168, 'min_samples_leaf': 191, 'l2_regularization': 5.172213887758585e-05, 'early_stopping': False, 'validation_fraction': 0.14486386043941196, 'n_estimators': 755}
[    random] t=  84s  evals=    12  best_cv=0.87096  params={'max_depth': 4, 'max_leaf_nodes': 170, 'learning_rate': 0.03867637126517001, 'max_bins': 168, 'min_samples_leaf': 191, 'l2_regularization': 5.172213887758585e-05, 'early_stopping': False, 'validation_fraction': 0.14486386043941196, 'n_estimators': 755}
[    random] t=  96s  evals=    13  best_cv=0.87096  params={'max_depth': 4, 'max_leaf_nodes': 170, 'learning_rate': 0.03867637126517001, 'max_bins': 168, 'min_samples_leaf': 191, 'l2_regularization': 5.172213887758585e-05, 'early_stopping': False, 'validation_fraction': 0.14486386043941196, 'n_estimators': 755}
[    random] t= 110s  evals=    15  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
